Group,Name,Type,Description
File attributes,File name,Text,The file name as it appears on disk.
File attributes,Full path,Text,The full file system path to the file.
File attributes,Date created,Date,Date and time when the file was created.
File attributes,Date modified,Date,Date and time when the file was last modified.
File attributes,Size,Integer,The size of the file in bytes.
File attributes,Mime type,Text,The detected mime type of the file.
File attributes,File extension,Text,The file extension.
General,Display name,Text,Name that will be displayed in the metadata file browser.
General,Description,FormattedText,"Long description of the file, can be formatted with MarkDown."
Image,Width,Integer,Image/video width.
Image,Height,Integer,Image/video height.
Media,Duration,TimeSpan,Media duration.
Package,Version,Text,Version of this package.
General,Date released,Date,Date when this file was released.
Software,End of life date,Date,
Software,Architecture,Text,
Software,Minimum CPU,Text,
Software,Minimum RAM,Integer,
Software,Minimum disk space,Integer,
Software,User interface,Text,
Software,Platform,Text,
Software,Serial key,Text,
General,Tag,Text,
General,Release notes,FormattedText,
Software,Installation instructions,FormattedText,
General,Language,Text,
General,Category,Text,
General,Subcategory,Text,
